ClientID,StandardizedID,LocationID,Demand,Longitude,Latitude,VehicleSizeRestriction
1,C001,12,13,-74.15080587752655,4.679769454542633,light truck
2,C002,13,15,-74.01799606682779,4.733830991590818,light truck
3,C003,14,16,-74.14365528529937,4.620928444870193,light truck
4,C004,15,22,-74.03458280137461,4.7330740665555,light truck
5,C005,16,14,-74.05588712830665,4.820900231096688,medium van
6,C006,17,11,-74.04633863054056,4.779275206620083,medium van
7,C007,18,9,-74.06470768583738,4.723527744298546,medium van
8,C008,19,8,-74.16228381122208,4.551786739961474,light truck
9,C009,20,10,-74.09545310710507,4.7263261853539165,light truck
10,C010,21,25,-74.06437527371203,4.662353891105346,light truck
11,C011,22,11,-74.14583743858148,4.682508652030651,light truck
12,C012,23,12,-74.0435651390896,4.6696470000024455,light truck
13,C013,24,8,-74.16213060801908,4.6432878981711685,light truck
14,C014,25,12,-74.06065579807984,4.659001162063419,light truck
15,C015,26,12,-74.09470082204405,4.610677475638341,light truck
16,C016,27,12,-74.14401596610422,4.6105321913757455,light truck
17,C017,28,12,-74.15344945344371,4.639093004061201,light truck
18,C018,29,12,-74.13521508897666,4.595322524530439,light truck
19,C019,30,12,-74.18525848230523,4.623575730110324,medium van
20,C020,31,12,-74.04699850514032,4.6820448830893735,light truck
21,C021,32,15,-74.10063264838327,4.714604301619081,medium van
22,C022,33,12,-74.13247035058447,4.584349076885561,medium van
23,C023,34,12,-74.08812096183223,4.601808353167407,light truck
24,C024,35,12,-74.07724934964033,4.630372860869505,light truck
25,C025,36,12,-74.09060364788147,4.543078840650238,small van
26,C026,37,13,-74.14360688690662,4.665468925013655,light truck
27,C027,38,12,-74.09844826546863,4.573791467064299,light truck
28,C028,39,12,-74.13546567831179,4.633237478572088,light truck
29,C029,40,12,-74.09979092748372,4.713221667626695,medium van
30,C030,41,12,-74.11401815215768,4.635170764434185,light truck
31,C031,42,11,-74.04598947755775,4.817594751767452,medium van
32,C032,43,12,-74.13723858704769,4.674151805520865,medium van
33,C033,44,12,-74.19934622165607,4.634842781449615,light truck
34,C034,45,12,-74.09343782722284,4.606007243975168,small van
35,C035,46,12,-74.06408131166147,4.628219016018069,light truck
36,C036,47,12,-74.15305002676416,4.577351664231728,light truck
37,C037,48,12,-74.10598276338656,4.591507422334537,medium van
38,C038,49,12,-74.11810263980469,4.662528769598529,light truck
39,C039,50,12,-74.09919840768201,4.636108249336584,medium van
40,C040,51,12,-74.08382119380175,4.683468229458011,light truck
41,C041,52,12,-74.04327806537287,4.681433253706684,medium van
42,C042,53,12,-74.20020638127643,4.621009558936612,light truck
43,C043,54,12,-74.0825343074274,4.644362493540247,light truck
44,C044,55,12,-74.11510351691575,4.678841430090151,light truck
45,C045,56,12,-74.13097960644443,4.601959453681908,light truck
46,C046,57,12,-74.17871803779973,4.586764170616499,light truck
47,C047,58,12,-74.02905876431227,4.735597416649075,light truck
48,C048,59,12,-74.13584428090304,4.6132765247775405,light truck
49,C049,60,12,-74.10961455253677,4.742093515278723,light truck
50,C050,61,12,-74.08582958932743,4.652642561667873,light truck
51,C051,62,12,-74.15760053139562,4.600888205988551,light truck
52,C052,63,12,-74.0796931873399,4.549367466884016,light truck
53,C053,64,12,-74.09357646889248,4.55515417393174,light truck
54,C054,65,12,-74.09896642450828,4.574081034612315,medium van
55,C055,66,12,-74.13744126992515,4.6478383733415765,light truck
56,C056,67,12,-74.11457278320283,4.612255916620933,light truck
57,C057,68,9,-74.10133122443925,4.663040571972072,light truck
58,C058,69,12,-74.06236964583805,4.758919797882775,medium van
59,C059,70,12,-74.10753958591829,4.601778908497933,light truck
60,C060,71,12,-74.17099744126638,4.582649341089685,light truck
61,C061,72,12,-74.10239034354473,4.755357733756727,small van
62,C062,73,12,-74.11838942283183,4.680884482895484,light truck
63,C063,74,12,-74.02746833396671,4.698528063511815,light truck
64,C064,75,12,-74.18908029225449,4.6303504599961975,medium van
65,C065,76,12,-74.19819193780812,4.607999065734159,medium van
66,C066,77,12,-74.04108156713701,4.746552939169878,medium van
67,C067,78,18,-74.05977447092283,4.714681242480954,light truck
68,C068,79,12,-74.11978853481759,4.566868541240374,light truck
69,C069,80,12,-74.0658591386104,4.676765989329332,light truck
70,C070,81,12,-74.12151360287666,4.560977596007328,light truck
71,C071,82,12,-74.12882206019144,4.741020138555489,light truck
72,C072,83,12,-74.04575439475184,4.66908366436315,medium van
73,C073,84,12,-74.07105351409295,4.588328399423368,medium van
74,C074,85,12,-74.06262358128717,4.709329203004265,light truck
75,C075,86,12,-74.16630493321455,4.681540545116068,medium van
76,C076,87,12,-74.19678020080597,4.602710693445276,light truck
77,C077,88,12,-74.04162873117184,4.8218132560656,medium van
78,C078,89,12,-74.09786400100863,4.691576910295521,light truck
79,C079,90,12,-74.12401500469795,4.575823929163168,light truck
80,C080,91,5,-74.08862720750967,4.571315385130528,light truck
81,C081,92,12,-74.0343456331748,4.688221811740903,light truck
82,C082,93,12,-74.04150379400424,4.686030807022915,light truck
83,C083,94,12,-74.09402484203703,4.558401647288171,light truck
84,C084,95,12,-74.06883261761244,4.619163588197764,medium van
85,C085,96,12,-74.11858800835633,4.635528071537161,light truck
86,C086,97,19,-74.07513673584079,4.54740664726352,light truck
87,C087,98,10,-74.1626484519259,4.659239664515429,small van
88,C088,99,12,-74.14700763379481,4.564125508268418,light truck
89,C089,100,23,-74.07318779929471,4.579649145501978,light truck
90,C090,101,12,-74.06336909645199,4.663988800761842,light truck
