VehicleID,StandardizedID,Capacity,Range,VehicleType
1,V001,132,146,light truck
2,V002,136,196,medium van
3,V003,115,143,light truck
4,V004,158,174,medium van
5,V005,109,167,medium van
6,V006,109,137,light truck
7,V007,126,93,light truck
8,V008,79,134,small van
9,V009,96,160,medium van
10,V010,99,108,light truck
11,V011,125,955,light truck
12,V012,98,716,small van
13,V013,86,1023,medium van
14,V014,74,1076,medium van
15,V015,85,942,medium van
16,V016,22,21,light truck 
17,V017,25,12,small van
18,V018,30,12,light truck
19,V019,27,10,light truck
20,V020,19,16,small van
21,V021,29,16,light truck
22,V022,25,15,small van
23,V023,18,13,light truck
24,V024,23,19,small van
25,V025,27,10,light truck
26,V026,27,14,light truck
27,V027,22,17,light truck
28,V028,31,18,light truck
29,V029,21,15,light truck
30,V030,27,18,light truck
31,V031,151,104,light truck
32,V032,73,184,medium van
33,V033,105,121,light truck
34,V034,98,107,medium van
35,V035,83,176,medium van
36,V036,139,101,light truck
37,V037,145,144,medium van
38,V038,74,93,medium van
39,V039,81,117,light truck
40,V040,99,154,medium van
41,V041,147,93,medium van
42,V042,141,115,light truck
43,V043,153,179,light truck
44,V044,139,143,small van
45,V045,98,147,medium van
